,Film,Year,Award,Nomination
0,Oppenheimer,2023,7,13
1,Poor Things,2023,4,11
2,The Zone of Interest,2023,2,5
3,American Fiction,2023,1,5
4,Anatomy of a Fall,2023,1,5
5,Barbie,2023,1,8
6,The Boy and the Heron,2023,1,1
7,Godzilla Minus One,2023,1,1
8,The Holdovers,2023,1,5
9,The Last Repair Shop,2023,1,1
10,20 Days in Mariupol,2023,1,1
11,War Is Over! Inspired by the Music of John and Yoko,2023,1,1
12,The Wonderful Story of Henry Sugar,2023,1,1
13,Everything Everywhere All at Once,2022,7,11
14,All Quiet on the Western Front,2022,4,9
15,The Whale,2022,2,3
16,Top Gun: Maverick,2022,1,6
17,Black Panther: Wakanda Forever,2022,1,5
18,Avatar: The Way of Water,2022,1,4
19,Women Talking,2022,1,2
20,Guillermo del Toro's Pinocchio,2022,1,1
21, Navalny,2022,1,1
22,The Elephant Whisperers,2022,1,1
23,An Irish Goodbye,2022,1,1
24," The Boy, the Mole, the Fox and the Horse",2022,1,1
25, RRR,2022,1,1
26,CODA,2021,3,3
27,Dune,2021,6,10
28, The Eyes of Tammy Faye,2021,2,2
29,No Time to Die,2021,1,3
30,The Windshield Wiper,2021,1,1
31, The Long Goodbye,2021,1,1
32,The Queen of Basketball,2021,1,1
33,Summer of Soul,2021,1,1
34, Drive My Car,2021,1,4
35,Encanto,2021,1,3
36, West Side Story,2021,1,7
37, Belfast,2021,1,7
38, The Power of the Dog,2021,1,12
39, King Richard,2021,1,6
40,Cruella,2021,1,2
41,Nomadland,21,3,6
42,The Father,21,2,6
43,Judas and the Black Messiah,21,2,6
44,Minari,21,1,6
45,Mank,21,2,10
46,Sound of Metal,21,2,6
47,Ma Rainey's Black Bottom,21,2,5
48,Promising Young Woman,21,1,5
49,Tenet,21,1,2
50,Soul,21,2,3
51,Another Round,21,1,2
52,My Octopus Teacher,21,1,1
53,Colette,21,1,1
54,If Anything Happens I Love You,21,1,1
55,Two Distant Strangers,21,1,1
56,Parasite,2019,4,6
57,Ford v Ferrari,2019,2,4
58,Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1
59,The Neighbors' Window,2019,1,1
60,Little Women,2019,1,6
61,Marriage Story,2019,1,6
62,Jojo Rabbit,2019,1,6
63,Toy Story 4,2019,1,2
64,Joker,2019,2,11
65,Once Upon a Time in Hollywood,2019,2,10
66,1917,2019,3,10
67,Judy,2019,1,2
68,Bombshell,2019,1,3
69,Rocketman,2019,1,1
70,American Factory,2019,1,1
71,Hair Love,2019,1,1
72,Green Book,2018,3,5
73,Bohemian Rhapsody,2018,4,5
74,Roma,2018,3,10
75,Black Panther,2018,3,7
76,The Favourite,2018,1,10
77,A Star Is Born,2018,1,8
78,Vice,2018,1,8
79,BlacKkKlansman,2018,1,6
80,First Man,2018,1,4
81,If Beale Street Could Talk,2018,1,3
82,Bao,2018,1,1
83,Free Solo,2018,1,1
84,Period. End of Sentence.,2018,1,1
85,Skin,2018,1,1
86,Spider-Man: Into the Spider-Verse,2018,1,1
87,The Shape of Water,2017,4,13
88,Dunkirk,2017,3,8
89,"Three Billboards Outside Ebbing, Missouri",2017,2,7
90,Darkest Hour,2017,2,6
91,Blade Runner 2049,2017,2,5
92,Coco,2017,2,2
93,Phantom Thread,2017,1,6
94,Call Me by Your Name,2017,1,4
95,Get Out,2017,1,4
96,"I, Tonya",2017,1,3
97,Dear Basketball,2017,1,1
98,A Fantastic Woman,2017,1,1
99,Heaven Is a Traffic Jam on the 405,2017,1,1
100,Icarus,2017,1,1
101,The Silent Child,2017,1,1
102,Flesh and Sand,2017,[1],0
103,Moonlight,2016,3,8
104,La La Land,2016,6,14
105,Hacksaw Ridge,2016,2,6
106,Manchester by the Sea,2016,2,6
